province,crime_category,financial_year,incident_count
Eastern Cape,Aggravated Robberies,2011,12476
Eastern Cape,Aggravated Robberies,2012,11751
Eastern Cape,Aggravated Robberies,2013,13443
Eastern Cape,Aggravated Robberies,2014,13245
Eastern Cape,Aggravated Robberies,2015,12777
Eastern Cape,Aggravated Robberies,2016,13688
Eastern Cape,Aggravated Robberies,2017,13485
Eastern Cape,Aggravated Robberies,2018,13578
Eastern Cape,Aggravated Robberies,2019,13983
Eastern Cape,Aggravated Robberies,2020,11458
Eastern Cape,Aggravated Robberies,2021,5723
Eastern Cape,Aggravated Robberies,2022,6433
Eastern Cape,Contact,2011,75779
Eastern Cape,Contact,2012,72650
Eastern Cape,Contact,2013,73032
Eastern Cape,Contact,2014,68654
Eastern Cape,Contact,2015,67258
Eastern Cape,Contact,2016,65524
Eastern Cape,Contact,2017,65393
Eastern Cape,Contact,2018,68416
Eastern Cape,Contact,2019,68545
Eastern Cape,Contact,2020,59093
Eastern Cape,Contact,2021,66581
Eastern Cape,Contact,2022,71191
Eastern Cape,Contact Related,2011,13687
Eastern Cape,Contact Related,2012,13514
Eastern Cape,Contact Related,2013,13735
Eastern Cape,Contact Related,2014,13184
Eastern Cape,Contact Related,2015,12498
Eastern Cape,Contact Related,2016,12810
Eastern Cape,Contact Related,2017,12027
Eastern Cape,Contact Related,2018,12738
Eastern Cape,Contact Related,2019,12721
Eastern Cape,Contact Related,2020,11673
Eastern Cape,Contact Related,2021,13166
Eastern Cape,Contact Related,2022,13459
Eastern Cape,Police Action,2011,20970
Eastern Cape,Police Action,2012,22100
Eastern Cape,Police Action,2013,24334
Eastern Cape,Police Action,2014,24922
Eastern Cape,Police Action,2015,24711
Eastern Cape,Police Action,2016,26182
Eastern Cape,Police Action,2017,27001
Eastern Cape,Police Action,2018,22558
Eastern Cape,Police Action,2019,20869
Eastern Cape,Police Action,2020,13427
Eastern Cape,Police Action,2021,14789
Eastern Cape,Police Action,2022,16184
Eastern Cape,Other Serious,2011,43690
Eastern Cape,Other Serious,2012,40986
Eastern Cape,Other Serious,2013,40725
Eastern Cape,Other Serious,2014,37188
Eastern Cape,Other Serious,2015,35238
Eastern Cape,Other Serious,2016,36461
Eastern Cape,Other Serious,2017,34256
Eastern Cape,Other Serious,2018,36271
Eastern Cape,Other Serious,2019,37480
Eastern Cape,Other Serious,2020,32999
Eastern Cape,Other Serious,2021,36542
Eastern Cape,Other Serious,2022,39447
Eastern Cape,Property Related,2011,55742
Eastern Cape,Property Related,2012,55484
Eastern Cape,Property Related,2013,53240
Eastern Cape,Property Related,2014,53536
Eastern Cape,Property Related,2015,51083
Eastern Cape,Property Related,2016,53097
Eastern Cape,Property Related,2017,51513
Eastern Cape,Property Related,2018,51875
Eastern Cape,Property Related,2019,49576
Eastern Cape,Property Related,2020,42515
Eastern Cape,Property Related,2021,40587
Eastern Cape,Property Related,2022,43066
Eastern Cape,Sexual Offences,2011,9001
Eastern Cape,Sexual Offences,2012,9288
Eastern Cape,Sexual Offences,2013,9616
Eastern Cape,Sexual Offences,2014,9224
Eastern Cape,Sexual Offences,2015,8797
Eastern Cape,Sexual Offences,2016,8050
Eastern Cape,Sexual Offences,2017,8094
Eastern Cape,Sexual Offences,2018,8731
Eastern Cape,Sexual Offences,2019,8708
Eastern Cape,Sexual Offences,2020,7445
Eastern Cape,Sexual Offences,2021,8404
Eastern Cape,Sexual Offences,2022,8361
Free State,Aggravated Robberies,2011,5323
Free State,Aggravated Robberies,2012,5791
Free State,Aggravated Robberies,2013,5347
Free State,Aggravated Robberies,2014,5239
Free State,Aggravated Robberies,2015,4778
Free State,Aggravated Robberies,2016,5147
Free State,Aggravated Robberies,2017,5032
Free State,Aggravated Robberies,2018,5339
Free State,Aggravated Robberies,2019,5119
Free State,Aggravated Robberies,2020,3992
Free State,Aggravated Robberies,2021,1876
Free State,Aggravated Robberies,2022,1838
Free State,Contact,2011,47486
Free State,Contact,2012,48480
Free State,Contact,2013,45945
Free State,Contact,2014,42314
Free State,Contact,2015,41100
Free State,Contact,2016,37741
Free State,Contact,2017,35725
Free State,Contact,2018,36879
Free State,Contact,2019,36059
Free State,Contact,2020,31668
Free State,Contact,2021,36356
Free State,Contact,2022,39829
Free State,Contact Related,2011,9134
Free State,Contact Related,2012,9147
Free State,Contact Related,2013,8424
Free State,Contact Related,2014,7942
Free State,Contact Related,2015,7816
Free State,Contact Related,2016,6838
Free State,Contact Related,2017,6232
Free State,Contact Related,2018,6116
Free State,Contact Related,2019,5740
Free State,Contact Related,2020,5769
Free State,Contact Related,2021,6806
Free State,Contact Related,2022,7123
Free State,Police Action,2011,6356
Free State,Police Action,2012,8334
Free State,Police Action,2013,10570
Free State,Police Action,2014,11387
Free State,Police Action,2015,12791
Free State,Police Action,2016,15015
Free State,Police Action,2017,16011
Free State,Police Action,2018,11907
Free State,Police Action,2019,8313
Free State,Police Action,2020,6251
Free State,Police Action,2021,7759
Free State,Police Action,2022,9816
Free State,Other Serious,2011,29529
Free State,Other Serious,2012,28736
Free State,Other Serious,2013,26042
Free State,Other Serious,2014,24134
Free State,Other Serious,2015,23502
Free State,Other Serious,2016,23348
Free State,Other Serious,2017,20235
Free State,Other Serious,2018,22006
Free State,Other Serious,2019,21631
Free State,Other Serious,2020,18708
Free State,Other Serious,2021,21875
Free State,Other Serious,2022,23735
Free State,Property Related,2011,31772
Free State,Property Related,2012,34738
Free State,Property Related,2013,33234
Free State,Property Related,2014,31162
Free State,Property Related,2015,30622
Free State,Property Related,2016,29733
Free State,Property Related,2017,28653
Free State,Property Related,2018,28778
Free State,Property Related,2019,27567
Free State,Property Related,2020,22626
Free State,Property Related,2021,22900
Free State,Property Related,2022,24768
Free State,Sexual Offences,2011,4785
Free State,Sexual Offences,2012,5098
Free State,Sexual Offences,2013,4584
Free State,Sexual Offences,2014,4094
Free State,Sexual Offences,2015,3928
Free State,Sexual Offences,2016,3488
Free State,Sexual Offences,2017,3284
Free State,Sexual Offences,2018,3457
Free State,Sexual Offences,2019,3746
Free State,Sexual Offences,2020,2971
Free State,Sexual Offences,2021,3416
Free State,Sexual Offences,2022,3442
Gauteng,Aggravated Robberies,2011,35148
Gauteng,Aggravated Robberies,2012,35717
Gauteng,Aggravated Robberies,2013,42506
Gauteng,Aggravated Robberies,2014,47362
Gauteng,Aggravated Robberies,2015,49792
Gauteng,Aggravated Robberies,2016,53793
Gauteng,Aggravated Robberies,2017,51706
Gauteng,Aggravated Robberies,2018,52040
Gauteng,Aggravated Robberies,2019,53927
Gauteng,Aggravated Robberies,2020,44109
Gauteng,Aggravated Robberies,2021,26033
Gauteng,Aggravated Robberies,2022,26599
Gauteng,Contact,2011,160289
Gauteng,Contact,2012,153610
Gauteng,Contact,2013,160881
Gauteng,Contact,2014,167264
Gauteng,Contact,2015,172814
Gauteng,Contact,2016,171466
Gauteng,Contact,2017,170640
Gauteng,Contact,2018,174894
Gauteng,Contact,2019,177737
Gauteng,Contact,2020,151911
Gauteng,Contact,2021,171026
Gauteng,Contact,2022,181837
Gauteng,Contact Related,2011,37796
Gauteng,Contact Related,2012,36199
Gauteng,Contact Related,2013,35757
Gauteng,Contact Related,2014,35847
Gauteng,Contact Related,2015,35312
Gauteng,Contact Related,2016,34023
Gauteng,Contact Related,2017,32456
Gauteng,Contact Related,2018,31275
Gauteng,Contact Related,2019,29232
Gauteng,Contact Related,2020,24996
Gauteng,Contact Related,2021,29399
Gauteng,Contact Related,2022,29252
Gauteng,Police Action,2011,51085
Gauteng,Police Action,2012,64337
Gauteng,Police Action,2013,104858
Gauteng,Police Action,2014,100267
Gauteng,Police Action,2015,91799
Gauteng,Police Action,2016,95403
Gauteng,Police Action,2017,107614
Gauteng,Police Action,2018,90476
Gauteng,Police Action,2019,83090
Gauteng,Police Action,2020,47859
Gauteng,Police Action,2021,52608
Gauteng,Police Action,2022,59348
Gauteng,Other Serious,2011,164163
Gauteng,Other Serious,2012,159302
Gauteng,Other Serious,2013,159385
Gauteng,Other Serious,2014,155820
Gauteng,Other Serious,2015,148436
Gauteng,Other Serious,2016,142974
Gauteng,Other Serious,2017,135087
Gauteng,Other Serious,2018,134273
Gauteng,Other Serious,2019,129696
Gauteng,Other Serious,2020,106889
Gauteng,Other Serious,2021,115972
Gauteng,Other Serious,2022,128695
Gauteng,Property Related,2011,147690
Gauteng,Property Related,2012,153759
Gauteng,Property Related,2013,155188
Gauteng,Property Related,2014,155912
Gauteng,Property Related,2015,150955
Gauteng,Property Related,2016,154761
Gauteng,Property Related,2017,140476
Gauteng,Property Related,2018,133563
Gauteng,Property Related,2019,126844
Gauteng,Property Related,2020,90906
Gauteng,Property Related,2021,91075
Gauteng,Property Related,2022,94057
Gauteng,Sexual Offences,2011,11512
Gauteng,Sexual Offences,2012,11113
Gauteng,Sexual Offences,2013,10264
Gauteng,Sexual Offences,2014,9902
Gauteng,Sexual Offences,2015,9510
Gauteng,Sexual Offences,2016,9566
Gauteng,Sexual Offences,2017,10116
Gauteng,Sexual Offences,2018,10752
Gauteng,Sexual Offences,2019,10810
Gauteng,Sexual Offences,2020,9749
Gauteng,Sexual Offences,2021,11178
Gauteng,Sexual Offences,2022,11160
KwaZulu-Natal,Aggravated Robberies,2011,18417
KwaZulu-Natal,Aggravated Robberies,2012,19923
KwaZulu-Natal,Aggravated Robberies,2013,20957
KwaZulu-Natal,Aggravated Robberies,2014,20881
KwaZulu-Natal,Aggravated Robberies,2015,21061
KwaZulu-Natal,Aggravated Robberies,2016,22327
KwaZulu-Natal,Aggravated Robberies,2017,21543
KwaZulu-Natal,Aggravated Robberies,2018,22110
KwaZulu-Natal,Aggravated Robberies,2019,22824
KwaZulu-Natal,Aggravated Robberies,2020,20964
KwaZulu-Natal,Aggravated Robberies,2021,12027
KwaZulu-Natal,Aggravated Robberies,2022,13372
KwaZulu-Natal,Contact,2011,105443
KwaZulu-Natal,Contact,2012,105444
KwaZulu-Natal,Contact,2013,101983
KwaZulu-Natal,Contact,2014,98757
KwaZulu-Natal,Contact,2015,97870
KwaZulu-Natal,Contact,2016,95153
KwaZulu-Natal,Contact,2017,94914
KwaZulu-Natal,Contact,2018,97505
KwaZulu-Natal,Contact,2019,101154
KwaZulu-Natal,Contact,2020,88851
KwaZulu-Natal,Contact,2021,103725
KwaZulu-Natal,Contact,2022,109916
KwaZulu-Natal,Contact Related,2011,16424
KwaZulu-Natal,Contact Related,2012,16616
KwaZulu-Natal,Contact Related,2013,15850
KwaZulu-Natal,Contact Related,2014,15459
KwaZulu-Natal,Contact Related,2015,15534
KwaZulu-Natal,Contact Related,2016,14709
KwaZulu-Natal,Contact Related,2017,13637
KwaZulu-Natal,Contact Related,2018,14458
KwaZulu-Natal,Contact Related,2019,14120
KwaZulu-Natal,Contact Related,2020,13227
KwaZulu-Natal,Contact Related,2021,16512
KwaZulu-Natal,Contact Related,2022,14749
KwaZulu-Natal,Police Action,2011,55907
KwaZulu-Natal,Police Action,2012,62908
KwaZulu-Natal,Police Action,2013,64896
KwaZulu-Natal,Police Action,2014,65418
KwaZulu-Natal,Police Action,2015,64875
KwaZulu-Natal,Police Action,2016,71390
KwaZulu-Natal,Police Action,2017,80143
KwaZulu-Natal,Police Action,2018,60283
KwaZulu-Natal,Police Action,2019,54199
KwaZulu-Natal,Police Action,2020,29371
KwaZulu-Natal,Police Action,2021,30794
KwaZulu-Natal,Police Action,2022,32189
KwaZulu-Natal,Other Serious,2011,78241
KwaZulu-Natal,Other Serious,2012,77601
KwaZulu-Natal,Other Serious,2013,75655
KwaZulu-Natal,Other Serious,2014,72967
KwaZulu-Natal,Other Serious,2015,68616
KwaZulu-Natal,Other Serious,2016,67284
KwaZulu-Natal,Other Serious,2017,63543
KwaZulu-Natal,Other Serious,2018,65970
KwaZulu-Natal,Other Serious,2019,64128
KwaZulu-Natal,Other Serious,2020,53945
KwaZulu-Natal,Other Serious,2021,58294
KwaZulu-Natal,Other Serious,2022,63665
KwaZulu-Natal,Property Related,2011,84433
KwaZulu-Natal,Property Related,2012,91128
KwaZulu-Natal,Property Related,2013,88205
KwaZulu-Natal,Property Related,2014,86814
KwaZulu-Natal,Property Related,2015,86385
KwaZulu-Natal,Property Related,2016,83492
KwaZulu-Natal,Property Related,2017,80207
KwaZulu-Natal,Property Related,2018,78995
KwaZulu-Natal,Property Related,2019,74804
KwaZulu-Natal,Property Related,2020,62054
KwaZulu-Natal,Property Related,2021,61808
KwaZulu-Natal,Property Related,2022,59887
KwaZulu-Natal,Sexual Offences,2011,11034
KwaZulu-Natal,Sexual Offences,2012,10964
KwaZulu-Natal,Sexual Offences,2013,9889
KwaZulu-Natal,Sexual Offences,2014,9079
KwaZulu-Natal,Sexual Offences,2015,8947
KwaZulu-Natal,Sexual Offences,2016,8484
KwaZulu-Natal,Sexual Offences,2017,8759
KwaZulu-Natal,Sexual Offences,2018,9308
KwaZulu-Natal,Sexual Offences,2019,9809
KwaZulu-Natal,Sexual Offences,2020,8201
KwaZulu-Natal,Sexual Offences,2021,9617
KwaZulu-Natal,Sexual Offences,2022,10160
Limpopo,Aggravated Robberies,2011,3652
Limpopo,Aggravated Robberies,2012,3917
Limpopo,Aggravated Robberies,2013,5163
Limpopo,Aggravated Robberies,2014,6123
Limpopo,Aggravated Robberies,2015,6723
Limpopo,Aggravated Robberies,2016,6745
Limpopo,Aggravated Robberies,2017,7048
Limpopo,Aggravated Robberies,2018,7006
Limpopo,Aggravated Robberies,2019,7466
Limpopo,Aggravated Robberies,2020,6105
Limpopo,Aggravated Robberies,2021,3548
Limpopo,Aggravated Robberies,2022,3931
Limpopo,Contact,2011,38826
Limpopo,Contact,2012,36786
Limpopo,Contact,2013,35953
Limpopo,Contact,2014,37971
Limpopo,Contact,2015,40391
Limpopo,Contact,2016,36764
Limpopo,Contact,2017,35068
Limpopo,Contact,2018,35266
Limpopo,Contact,2019,34780
Limpopo,Contact,2020,31120
Limpopo,Contact,2021,37690
Limpopo,Contact,2022,42142
Limpopo,Contact Related,2011,7535
Limpopo,Contact Related,2012,7296
Limpopo,Contact Related,2013,7145
Limpopo,Contact Related,2014,7544
Limpopo,Contact Related,2015,8225
Limpopo,Contact Related,2016,7352
Limpopo,Contact Related,2017,7246
Limpopo,Contact Related,2018,7161
Limpopo,Contact Related,2019,6943
Limpopo,Contact Related,2020,6866
Limpopo,Contact Related,2021,7768
Limpopo,Contact Related,2022,8171
Limpopo,Police Action,2011,9081
Limpopo,Police Action,2012,12402
Limpopo,Police Action,2013,14269
Limpopo,Police Action,2014,18321
Limpopo,Police Action,2015,17709
Limpopo,Police Action,2016,20044
Limpopo,Police Action,2017,27262
Limpopo,Police Action,2018,23249
